web-scraper-order,web-scraper-start-url,Location,Location-href,Name,Where,Deadline,Price,Institution,Description,Link,Link-href,,,,,,,,,,
1687112242-36,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Illinois,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-illinois,DSI Summer Lab,"Chicago, IL",11-Feb-23,Free,The University of Chicago,"The University of Chicago offers a 10-week summer research program, which is a paid opportunity for high school and undergraduate students to collaborate with a data science mentor in areas such as computer science, social science, public policy, climate and energy policy, materials science, and biomedical research. During the program, research assistants work closely with their mentors to improve their research skills, methodologies, and teamwork. Those who meet the eligibility requirements are assigned to projects in the Social Impact Track.",See website,https://datascience.uchicago.edu/engage/summerlab/,,,,,,,,,,
1687112246-37,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Texas,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-texas,Conrad Challenge,"Houston, TX",No deadline,Free,Conrad Challenge,"This competition provides a platform for students aged 13-18 to address global issues by utilizing science, technology, and innovation, all while cultivating entrepreneurial skills and forming new connections. With guidance from industry professionals and a structured framework, participants can strengthen their collaboration, creativity, critical thinking, and communication abilities. One of the best aspects of this challenge is that students can choose to work with a small team of their choosing, allowing them to collaborate with friends and enjoy the project together.",See website,https://www.conradchallenge.org/,,,,,,,,,,
1687112246-38,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Texas,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-texas,Regeneron ISEF,"Dallas, TX",No deadline,Free,Society for Science,"The Regeneron ISEF isn't just your typical high school science fair. It's the most renowned science competition for high school students in the nation, attracting 1,800 finalists who compete for $8 million in awards and scholarships. Its reputation is highly respected by colleges and the scientific community. To participate in ISEF, 9th-12th grade students must first compete in a Society-affiliated fair and earn the opportunity to attend. Each fair has the opportunity to sponsor a certain number of projects, either team or individual, for the chance to compete at ISEF.",See website,https://www.societyforscience.org/isef/,,,,,,,,,,
1687112246-39,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Texas,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-texas,UT Austin’s McCombs Business School Summer Programs,"Austin, TX",30-Jan-23,Free,University of Texas,"Participating in summer programs can be costly, which is why this free 6-day program is a fantastic opportunity. Students can gain valuable skills in business and engage with industry representatives, McCombs faculty, and students. The program offers three options to choose from, including the McCombs Future Executive Academy (MFEA), Academy for Rising Leaders, and Discover Yourself in Accounting Majors and Careers.",See website,https://www.mccombs.utexas.edu/undergraduate/bba/academics/summer-high-school-programs/,,,,,,,,,,
1687112246-40,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Texas,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-texas,Texas A&M’s Camp ARCH,"College Station, TX",14-Apr-23,"$1,200 USD",Texas A&M University,The Texas A&M School of Architecture sponsors a week-long program designed for high-achieving high school students. The program combines academic courses with social activities to create a research-focused pre-college experience on the ARCH campus.,See website,https://www.arch.tamu.edu/academics/high-school-outreach/camp-arch/,,,,,,,,,,
1687112246-41,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Texas,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-texas,Summer Research Internship in Infectious Diseases,"Houston, TX",No deadline,Free,University of Houston,"This program spans over 8 years and offers students direct, hands-on experience in generating, analyzing, validating, and reproducing research data under the guidance of the program director. Students will receive practical research training that encompasses laboratory analysis skills, literature review, handling of biological samples, performing PCR tests, and plating bacteria through laboratory testing and basic microbiological techniques.",See website,https://www.uh.edu/pharmacy/research/uhcop-dldccc-acd3e/,,,,,,,,,,
1687112246-42,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Texas,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-texas,Houston Methodist’s Summer Internship program for High Schoolers,"Houston, TX",26-Jan-23,Free,Houston Methodist,"High school students can participate in this 9-week program, which provides training in translational research laboratories and a professional development curriculum covering college options, academic materials, and scientific writing. The program pairs students with distinguished faculty members at Houston Methodist, who guide them through laboratory procedures and assign them an area of study or concentration as well as an active research project.",See website,https://www.houstonmethodist.org/education/medical-graduate-student/summer-internship-program/#,,,,,,,,,,
1687112246-43,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Texas,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-texas,Carl B. & Florence E. King Foundation High School Summer Program,"Houston, TX",19-Jan-23,Free,MD Anderson Cancer Center,"Participants of the program have a unique chance to engage in a research project in one of the biomedical fields, supervised by a full-time MD Anderson faculty member. The program emphasizes the significance of fundamental principles that serve as the foundation of scientific research. In addition to laboratory experience, seminars are also provided.",See website,https://www.mdanderson.org/education-training/degrees-programs/summer-research-programs/high-school-summer-program.html,,,,,,,,,,
1687112246-44,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Texas,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-texas,Texas Tech’s Anson L. Clark Scholars Program,"Lubbock, TX",12-Feb-23,Free,Texas Tech University,"This rigorous seven-week program offers outstanding students the chance to collaborate with exceptional professors at the University's General Health Sciences Center. While the program has a research focus, it also features weekly seminars, discussions, and field trips.",See website,https://www.depts.ttu.edu/honors/academicsandenrichment/affiliatedandhighschool/clarks/,,,,,,,,,,
1687112246-45,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Texas,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-texas,UT Austin’s High School Research Academy (HSRA),"Austin, TX",25-Mar-23,"$3,500 USD",University of Texas,"The 5-week program offers high school students a range of immersive and hands-on research opportunities. Participants engage in research projects and active laboratory work in the College of Natural Sciences (CNS), exploring various exciting fields such as biochemistry, biology, environmental science, genetics, neuroscience, genome engineering, data analysis, and ecology.",See website,https://cns.utexas.edu/tides/k-12/high-school-summer-research-academy,,,,,,,,,,
1687112246-46,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Texas,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-texas,ELITE Tech Camp,"Houston, TX",No deadline,"$1,495 USD",Rice University,"This summer program is designed for high school students interested in engineering and college readiness. It offers a rigorous STEM curriculum that emphasizes hands-on learning, problem-solving, and the practical application of engineering principles. Through intensive coursework and support from experienced instructors, students will gain valuable technical skills and an understanding of how to apply engineering to real-world challenges.",See website,http://www.rcelconnect.org/elitecamp/,,,,,,,,,,
1687112249-47,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in California,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-california,Polygence,Online,No deadline,Starting at $2695,Polygence,"Polygence is an online research program designed to offer high school students accessible research opportunities, making them more inclusive. The program was created by researchers from Harvard, MIT, and Stanford and provides tailored research projects, allowing students to explore their interests, acquire professional skills, and increase their competitiveness for college admissions.",See website,https://polygence.org/program,,,,,,,,,,
1687112249-48,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in California,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-california,AAN Neuroscience Research Prize,"San Francisco, CA",No deadline,Free,Institute Of Competition Sciences,"This award is highly regarded as the most prestigious neuroscience competition for high school students, aimed at inspiring them to explore the brain and nervous system through research. Its objective is to recognize and encourage students who demonstrate scientific skills and talent and have the potential to make significant contributions to the field of neuroscience. Additionally, submitting your work offers a unique opportunity to receive feedback from a member of the American Academy of Neurology, which is particularly valuable since neuroscience is not usually offered as a high school course.",See website,https://aan.secure-platform.com/a/gallery/rounds/7/details/7068,,,,,,,,,,
1687112249-49,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in California,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-california,B-BAY,"Berkeley, CA",17-Mar-23,"$7,050 ",UC Berkeley,"Every year, B-BAY, a highly competitive program, invites 50 high school students from different countries to participate in a two-week program. Students have the opportunity to immerse themselves in the culture, academics, and daily life of Berkeley. The program offers guest speakers, including professors from the Berkeley Haas School of Business and industry professionals, who share valuable insights and practical experiences. In addition to classroom instruction, students engage in independent research, computer lab assignments, and team projects. Working in teams, participants collaborate on developing a comprehensive business plan, which they present at the end of the program. While the program is prestigious, it comes with a high cost.",See website,https://haas.berkeley.edu/business-academy/high-school-entrepreneurship/,,,,,,,,,,
1687112249-50,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in California,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-california,Rady Children's Medical Academy,"San Diego, CA",23-Feb-23,"$2,800 ",Rady Children's Hospital,"The Summer Medical Academy (SMA) is designed for students between 15-19 years old who are interested in pursuing a career in healthcare. To be eligible, students must have completed 9th grade (up until the summer after graduating 12th grade). While meeting the eligibility criteria does not guarantee acceptance, SMA seeks highly motivated and enthusiastic students who have demonstrated academic success and extracurricular involvement, as well as a passion for healthcare. In addition, geographic proximity to San Diego, last grade completed in school, and affiliation with RCHSD will also be considered. Short answer and essay responses, along with teacher recommendations, are key application criteria. If accepted, details and payment instructions will be provided in acceptance letters. Proceeds from the program benefit the FACES for the Future-San Diego program at Rady Children’s, and a portion of the payment may be tax-deductible.",See website,https://sdhealthscholars.org/sma-application-process/,,,,,,,,,,
1687112249-51,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in California,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-california,Summer Science Internship Program,"Santa Clara, CA",No deadline,Free,University of California,"Coordinated by the Rheumatology and Immunology Labs at Stanford College and the University of California, San Francisco, this multi-week research program is open to high school juniors and seniors. Selected students will have the opportunity to work in leading research and clinical laboratories at Stanford College and the University of California, San Francisco, under the guidance of renowned experts. Participants will spend 40 hours per week engaged in either primary lab research or clinical epidemiological/translational (patient-centered) research. The program also offers a $1500 stipend.",See website,https://ugr.ue.ucsc.edu/Arthritis,,,,,,,,,,
1687112249-52,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in California,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-california,Research Mentorship Program,"Santa Barbara, CA",15-Mar-23,"$11,299 ",UC Santa Barbara,"This program offers a distinctive feature of providing students with exposure to various interdisciplinary research topics, allowing them to select their preferred project option. The program encompasses 24 fields, ranging from sciences to social sciences and humanities. Students are required to choose a research project and advisor, who could be a graduate student, postdoc, or professor, to undertake graduate-level research.",See website,https://www.summer.ucsb.edu/programs/research-mentorship-program/research-experience,,,,,,,,,,
1687112249-53,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in California,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-california,Clinical Neuroscience Immersion Experience (CNI-X),"Stanford, CA",28-Feb-23,"Starting at $1,295",Stanford University,"During this 10-day program, students will be introduced to intriguing subjects in neuroscience, psychiatry, and psychology. Additionally, they will collaborate with peers to complete a capstone project.",See website,https://med.stanford.edu/psychiatry/special-initiatives/CNIX.html,,,,,,,,,,
1687112249-54,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in California,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-california,Digital Filmmaking Summer Institute,"Los Angeles, CA",1-Jun-23,"$4,225 ",UCLA,"This program provides a unique chance for ambitious high school students from various locations worldwide to learn filmmaking at one of the most renowned film schools globally. The two-week intensive production workshop is tailored for highly motivated rising high school juniors, seniors, and spring 2022 high school graduates. Participants dive into the artistry and technical aspects of cinematic storytelling and are encouraged to craft engaging narrative projects.",See website,https://summer.ucla.edu/program/digital-filmmaking-summer-institute/,,,,,,,,,,
1687112249-55,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in California,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-california,Stanford Summer Humanities Institute,"Stanford, CA",31-Jan-23,"$8,250 ",Stanford University,"Experience college-level humanities courses and delve into topics such as Ancient Rome, The Greeks, Revolutions, and The American Enlightenment. Engage with philosophical inquiries and conduct research on fascinating subjects of your own choosing in this program.",See website,https://summerhumanities.spcs.stanford.edu/,,,,,,,,,,
1687112249-56,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in California,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-california,UCLA Computer Science Introductory Track,"Los Angeles, CA",1-Jun-23,"$3,011 ",UCLA,"This program offers a distinct blend of a coding boot camp, lab tours, and UCLA coursework tailored for high school students interested in computer science and related fields. Students will be taught how to utilize computers as instruments for creative problem-solving and exploration by designing and implementing computer programs. The curriculum covers fundamental concepts such as data types (integers, strings, and lists), control structures (including conditionals and loops), and functional decomposition.",See website,https://summer.ucla.edu/program/computer-science-summer-institute-introductory-track/,,,,,,,,,,
1687112252-57,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in New York,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-new-york,CURIE Academy,"Ithaca, NY",No deadline,"$1,450 ",Cornell University,"The CURIE Academy is a week-long residential program designed for high school girls who are rising juniors or seniors and interested in gaining an authentic college experience in the field of engineering. The program aims to enhance participants' understanding of engineering as a major course of study in college, as well as showcase potential career and graduate school pathways in the field. Additionally, the program seeks to demystify the admissions process for students who are interested in pursuing engineering as a college major.",See website,https://sites.coecis.cornell.edu/curieacademy/,,,,,,,,,,
1687112252-58,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in New York,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-new-york,Summer Science Research Program (SSRP),"New York, NY",No deadline,Free,Rockefeller University,"High school students have the opportunity to create and conduct their own research projects through this 7-course program, which follows a thematic research methodology framework. Each research project is conducted as a Rockefeller process, which includes a team of scientific advisors from the Rockefeller community working on a specific research topic.",See website,https://www.rockefeller.edu/research/,,,,,,,,,,
1687112252-59,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in New York,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-new-york,STEM Research Academy,"New York, NY",No deadline,Free,Baruch College,"The STEM research program is specifically designed to provide students with hands-on experience and help them develop their scientific knowledge and skills through a series of ""experimental"" activities. Selected students will have the opportunity to enroll in courses that focus on building essential skills like formulating research questions, designing experiments, conducting literature reviews, and analyzing scientific literature. These classes will be held during the spring semester, and upon successful completion, students will be connected to CUNY research faculty to participate in a six-week internship program during the summer. The internship program is structured and designed to enable students to apply their newly acquired knowledge in a research setting.",See website,https://www.studentresearchnyc.org/our_programs/baruch-college-now-stem-research-academy/,,,,,,,,,,
1687112252-60,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in New York,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-new-york,3D Art Studio at Syracuse University,"Syracuse, NY",No deadline,"$1,985 ",Syracuse University,"The two-week program is tailored for sculpture artists who require additional guidance and resources while creating their arts program application portfolio. The course provides morning sessions to learn new techniques and practices, followed by afternoon studio time to work on individual projects, while receiving feedback and critiques from teachers, peers, and even professional artists. The program's highlight is a unique opportunity to collaborate with other students to curate a group exhibition in the Sarah A. Coyne Gallery of Art. This experience is especially valuable for students who aspire to pursue a Bachelor of Fine Arts (BFA) degree.",See website,https://precollege.syr.edu/?redirect,,,,,,,,,,
1687112252-61,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in New York,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-new-york,Parsons Summer Intensive Studies: New York,"New York, NY",8-Jun-23,"$4,675 ",Parson's New School,"Parsons is widely recognized as one of the top names in the art school domain, and students with a keen interest in the arts will find this summer program especially appealing. The four-week intensive course takes place at Parsons The New School for Design in New York City and includes an array of activities such as special events, guest lectures by renowned art experts, and immersive learning experiences. For those who desire an international experience, a similar program is available in Paris through Parsons.",See website,https://www.newschool.edu/parsons/youth-teen-summer-ny/,,,,,,,,,,
1687112252-62,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in New York,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-new-york,Sotheby’s Summer Institute,"New York, NY",24-Apr-23,"$6,470 ",Sotheby’s,"The Sotheby's Summer Institute welcomes high school students who possess a curiosity and passion for the arts to participate in a two-week program in the vibrant art capital of the world - New York City. This immersive experience is designed to inspire creativity and engagement by providing students with a comprehensive understanding of the art world. The courses cover a wide range of topics, from learning about the intricacies of running galleries and museums to exploring the history of painting and drawing techniques. Led by top professionals and scholars in the field, the program leverages the global expertise of Sotheby's Institute of Art, and provides behind-the-scenes access to world-class museums, galleries, auction houses, artists' studios, and other art-related establishments.",See website,https://precollege.sothebysinstitute.com/,,,,,,,,,,
1687112252-63,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in New York,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-new-york,Python Data Science & Machine Learning Program NYC,"New York, NY",No deadline,"$2,495 ",NextGen Bootcamp,"The practical Python course is divided into two parts. In the first half, you'll start by grasping the basics of Python code before moving on to more complex programming tasks. In the second half, the focus shifts towards data science, where you'll learn how to work with Pandas, Matplotlib, and Sci-Kit learn. These packages will equip you with the skills to input, analyze, and visualize data using graphs.",See website,https://www.nextgenbootcamp.com/classes/python-data-science-summer-camp-nyc,,,,,,,,,,
1687112252-64,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in New York,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-new-york,Data Visualization and Analysis Program,"Syracuse, NY",1-May-23,"Starting at $1,545",Syracuse University,"During the course, students will learn how to work with data using tools such as Excel and Tableau. They will acquire the skills needed to enter and manipulate data, and perform basic and intermediate analyses to support decision-making. Students will also learn how to approach unfamiliar datasets, explore data visually, clean up data and prepare it for analysis, perform basic statistical analyses to extract insights from data, and present their findings to stakeholders in a clear and informed manner, enabling quick and effective decision-making.",See website,https://precollege.syr.edu/?page_id=2528,,,,,,,,,,
1687112252-65,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in New York,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-new-york,HOPP Summer Student Program,"New York, NY",No deadline,Free,Memorial Sloan Kettering Hospital,"The Summer Student Program by the Human Oncology and Pathogenesis Program enables high school students to gain practical experience in laboratory techniques. Through the program, students work on independent research projects, attend informative training sessions and tours, and explore their curiosity for science and clinical aspects of translational research. It's worth noting that housing is not included in the program.",See website,https://www.mskcc.org/education-training/high-school-college/hopp-summer-student,,,,,,,,,,
1687112252-66,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in New York,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-new-york,Simons Summer Research Program,"Stony Brook, NY",9-Feb-23,Free,Stony Brook University,"This program offers special workshops, tours, and events for students to take part in. Upon completion of the program, students will create a research abstract and poster. The application process is divided into two categories: one for students who will commute to the program and one for remote students.",See website,https://www.stonybrook.edu/simons/,,,,,,,,,,
1687112255-67,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Massachusetts,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-massachusetts,Polygence,Online,No deadline,Starting at $2695,Polygence,"Polygence is an online research program designed to offer high school students accessible research opportunities, making them more inclusive. The program was created by researchers from Harvard, MIT, and Stanford and provides tailored research projects, allowing students to explore their interests, acquire professional skills, and increase their competitiveness for college admissions.",See website,https://polygence.org/program,,,,,,,,,,
1687112255-68,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Massachusetts,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-massachusetts,AIM,"Charles River, MA",No deadline,"$5,131 ",Boston University,"The premedical track offered by AIM is a comprehensive three-week program that offers an extensive introduction to the field of medicine. The program encompasses a blend of coursework in related sciences, hands-on learning activities, and exploratory sessions that acquaint students with various career options within the medical field.",See website,https://www.bu.edu/summer/high-school-programs/academic-immersion/introduction-to-medicine/,,,,,,,,,,
1687112255-69,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Massachusetts,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-massachusetts,Secondary School Program,"Cambridge, MA",No deadline,"$3,600 ",Harvard University,"Harvard Summer School's Secondary School program is a rigorous seven-week academic program intended for highly motivated high school students who aspire to excel in college courses and earn college credits. The program offers a range of courses to choose from, including Neuroinvesting: Neuroscience and Financial Decision Making, Mind and Brain: Themes in the History of Neuroscience, and Becoming a Brain Scientist: Neuroscience and Psychology Research, among others.",See website,https://summer.harvard.edu/high-school-programs/secondary-school-program/#outcomes,,,,,,,,,,
1687112255-70,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Massachusetts,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-massachusetts,Summer Challenge,"Boston, MA",No deadline,"$4,550 ",Boston University,"The Summer Challenge is a two-week program that offers a range of seminars from Abnormal Psychology to Persuasive Writing, among others. As the name suggests, this program is designed to push you in various ways. You will have the opportunity to explore your interests, discover new ones, expand your academic horizons, and fully immerse yourself in the college experience. Additionally, you'll make new friends and gain valuable insights into Boston University. Do you have what it takes to rise to the challenge?",See website,https://www.bu.edu/summer/high-school-programs/summer-challenge/seminars/,,,,,,,,,,
1687112255-71,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Massachusetts,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-massachusetts,EXPLO Psychology + Neuroscience,"Norwood, MA",No deadline,"$7,350 ",Wellesley College,"Analyze the neurochemical reactions, diagnose mental illnesses in patients, and dissect a brain to explore how the structure and biology of the brain greatly influence human behavior and thinking.",See website,https://explo.org/academics/psychology-neuroscience,,,,,,,,,,
1687112255-72,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Massachusetts,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-massachusetts,Summer Science and Engineering Program,"Northampton, MA",4-Mar-23,"$7,885 ",Smith College,"SSEP's research courses focus on active learning by doing, rather than passive listening and observing. Students have the option to select two-week research courses where they collaborate in small groups with Smith faculty members and undergraduate interns. Through informal lectures both in the lab and in the field, students are encouraged to ask research questions and conduct actual experiments. The majority of the work is carried out through teamwork, but there are also opportunities for individual contributions. By participating in SSEP, students learn about the process of formulating research questions, working with sophisticated scientific instruments, and developing critical thinking and analytical skills.",See website,https://www.smith.edu/academics/precollege-programs/summer-science-engineering,,,,,,,,,,
1687112255-73,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Massachusetts,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-massachusetts,SEA Summer High School Programs,"Woods Hole, Massachusetts",15-Apr-23,"$5,600 ",Sea Education Association,"SEA provides summer programs to high school students, including graduating seniors. These programs offer two options: a shore-based field program in Woods Hole, Massachusetts on Cape Cod, or an at-sea voyage on the SSV Corwith Cramer, with a focus on oceanographic research under sail. SEA's programs aim to provide experiential and community-based learning opportunities for students interested in exploring the marine environment.",See website,https://sea.edu/programs/high-school-programs/,,,,,,,,,,
1687112255-74,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Massachusetts,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-massachusetts,PROMYS,"Boston, MA",No deadline,"$5,500 ",Boston University,"PROMYS, the Program in Mathematics for Young Scientists, is a highly intensive six-week math program aimed at students from all around the world. Held on Boston University's campus, the program features daily lectures on Number Theory, along with ample freedom for students to decide their own schedules and areas of study. Aside from the rigorous academic coursework, there is also scheduled ""mandatory fun time"" each week, allowing students to engage in non-mathematical activities.",See website,https://promys.org/programs/,,,,,,,,,,
1687112255-75,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Massachusetts,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-massachusetts,The Research Science Institute (RSI),"Cambridge, MA",No deadline,Free,CEE at MIT,"This is the first tuition-free summer program of its kind, held at the Massachusetts Institute of Technology in Cambridge, Massachusetts. This seven-week program provides students with an immersive experience in the world of science and engineering, guiding them through the entire research process from start to finish. The program includes classes taught by distinguished professors, a five-week research internship, and culminates with students presenting their research through both written and oral presentations.",See website,https://www.cee.org/programs/research-science-institute,,,,,,,,,,
1687112255-76,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Massachusetts,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-massachusetts,RISE Internship / Practicum,"Boston, MA",No deadline,"$5,370 ",Boston University,"The RISE Internship and Practicum program is an immersive summer program held at Boston University, offering two different tracks. The six-week program provides an opportunity to conduct lab research and develop skills in the field. The internship track assigns students to a research project and mentor, where they will work 40 hours a week. Students can choose their research topic from a list of options. The practicum track involves group research with a focus on computational neurobiology.",See website,https://www.bu.edu/summer/high-school-programs/rise-internship-practicum/,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
